City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
552,Uklana Mandi,IN,29.5,75.88,53.89,79,13,6.82,few clouds,0.0,0.0
553,Nara,JP,34.69,135.8,45.0,56,75,13.87,broken clouds,0.0,0.0
554,Rampura,IN,30.25,75.23,53.89,55,77,5.91,broken clouds,0.0,0.0
555,Maroantsetra,MG,-15.43,49.73,75.76,82,29,7.18,light rain,0.56,0.0
556,Nigde,TR,37.83,34.75,32.65,94,0,3.33,clear sky,0.0,0.0
557,Chicama,PE,-7.84,-79.15,66.2,88,40,10.29,scattered clouds,0.0,0.0
558,Santiago,CL,-33.46,-70.65,71.6,46,0,12.75,clear sky,0.0,0.0
559,Aksu,CN,41.12,80.26,10.87,90,0,3.47,clear sky,0.0,0.0
560,Entre Rios,BR,-11.94,-38.08,70.16,93,81,4.0,broken clouds,0.0,0.0
561,Sao Luis De Montes Belos,BR,-16.52,-50.37,68.97,93,51,3.31,broken clouds,0.0,0.0
562,Marathon,US,44.9,-89.77,24.8,85,90,3.36,fog,0.0,0.0
563,Peterhead,GB,57.51,-1.8,36.0,93,66,9.17,snow,0.0,0.82
564,Baracoa,CU,20.35,-74.5,74.68,83,48,11.86,scattered clouds,0.0,0.0
565,Serpong,ID,-6.32,106.66,86.0,70,20,9.17,few clouds,0.0,0.0
